device,subject,browser,Memory Usage [KB]
nexus6p,subjects-coloradoboulevard-net-coloradoboulevard-net,chrome,2533984.200165025
nexus6p,subjects_critical-heinlein-support-de-heinlein-support-de,chrome,2514471.4196491227
nexus6p,subjects-heinlein-support-de-heinlein-support-de,chrome,2454024.4754575165
nexus6p,subjects_critical-pieterhugo-com-pieterhugo-com,chrome,2495199.1369662983
nexus6p,subjects-kasteelhoensbroek-nl-kasteelhoensbroek-nl,chrome,2477317.6208942095
nexus6p,subjects_critical-marketlii-com-marketlii-com,chrome,2572928.196641004
nexus6p,subjects-drivenxdesign-com-drivenxdesign-com,chrome,2519853.9376618625
nexus6p,subjects_critical-denverite-com-denverite-com,chrome,2540291.1392664663
nexus6p,subjects-spansh-co-uk-spansh-co-uk,chrome,2504138.9700817512
nexus6p,subjects_critical-visit-sidney-com-visit-sidney-com,chrome,2534176.064254471
nexus6p,subjects_critical-andreaswaelti-com-andreaswaelti-com,chrome,2552258.3468561396
nexus6p,subjects-nflpenalties-com-nflpenalties-com,chrome,2511655.9138562027
nexus6p,subjects-marketlii-com-marketlii-com,chrome,2558602.617129112
nexus6p,subjects_critical-porn5f-com-porn5f-com,chrome,2538887.6246159947
nexus6p,subjects-kpoe-at-kpoe-at,chrome,2538951.9580271756
nexus6p,subjects_critical-renesia-com-renesia-com,chrome,2484871.0539277494
nexus6p,subjects-japassie-com-japassie-com,chrome,2496603.5945396475
nexus6p,subjects_critical-zuver-net-au-zuver-net-au,chrome,2531287.5865896656
nexus6p,subjects_critical-kpoe-at-kpoe-at,chrome,2467244.4104404943
nexus6p,subjects_critical-japassie-com-japassie-com,chrome,2507286.721558533
nexus6p,subjects-zuver-net-au-zuver-net-au,chrome,2463287.305700888
nexus6p,subjects_critical-magnetadservices-com-magnetadservices-com,chrome,2549954.4239101573
nexus6p,subjects_critical-xobor-com-xobor-com,chrome,2484668.347809643
nexus6p,subjects-magnetadservices-com-magnetadservices-com,chrome,2501671.141831357
nexus6p,subjects_critical-spansh-co-uk-spansh-co-uk,chrome,2492480.787043428
nexus6p,subjects_critical-astropix-com-astropix-com,chrome,2487974.5947759105
nexus6p,subjects-porn5f-com-porn5f-com,chrome,2456890.176709998
nexus6p,subjects_critical-nflpenalties-com-nflpenalties-com,chrome,2576042.9754914204
nexus6p,subjects-astropix-com-astropix-com,chrome,2509016.5373305813
nexus6p,subjects_critical-coloradoboulevard-net-coloradoboulevard-net,chrome,2530963.6424753168
nexus6p,subjects-alliedtelesis-com-alliedtelesis-com,chrome,2524827.3630814212
nexus6p,subjects_critical-vergecampus-com-vergecampus-com,chrome,2522192.8214431265
nexus6p,subjects-bdfor-com-bdfor-com,chrome,2495587.0940632806
nexus6p,subjects-visit-sidney-com-visit-sidney-com,chrome,2497368.8166630035
nexus6p,subjects_critical-megatorrentshd-biz-megatorrentshd-biz,chrome,2526314.1681986125
nexus6p,subjects_critical-worldlink-com-np-worldlink-com-np,chrome,2484401.388584796
nexus6p,subjects_critical-kasteelhoensbroek-nl-kasteelhoensbroek-nl,chrome,2516938.103663123
nexus6p,subjects_critical-drivenxdesign-com-drivenxdesign-com,chrome,2564580.170068511
nexus6p,subjects_critical-swimply-com-swimply-com,chrome,2556419.303485576
nexus6p,subjects-pieterhugo-com-pieterhugo-com,chrome,2504079.9240844334
nexus6p,subjects-denverite-com-denverite-com,chrome,2507988.9507053136
nexus6p,subjects_critical-alliedtelesis-com-alliedtelesis-com,chrome,2519559.195428858
nexus6p,subjects-xobor-com-xobor-com,chrome,2464297.9633163936
nexus6p,subjects-worldlink-com-np-worldlink-com-np,chrome,2518145.963076735
nexus6p,subjects-renesia-com-renesia-com,chrome,2537517.5388371563
nexus6p,subjects-swimply-com-swimply-com,chrome,2543129.0362168024
nexus6p,subjects-vergecampus-com-vergecampus-com,chrome,2527529.2399817477
nexus6p,subjects-andreaswaelti-com-andreaswaelti-com,chrome,2570307.268954248
nexus6p,subjects-megatorrentshd-biz-megatorrentshd-biz,chrome,2415528.1961168903
nexus6p,subjects_critical-bdfor-com-bdfor-com,chrome,2517123.9227390066
