datetime,cpu
Sat Oct 17 03:14:53 GMT 2020,15
Sat Oct 17 03:14:54 GMT 2020,15
Sat Oct 17 03:14:54 GMT 2020,15
Sat Oct 17 03:14:54 GMT 2020,15
Sat Oct 17 03:14:54 GMT 2020,15
Sat Oct 17 03:14:55 GMT 2020,15
Sat Oct 17 03:14:55 GMT 2020,15
Sat Oct 17 03:14:55 GMT 2020,15
Sat Oct 17 03:14:55 GMT 2020,15
Sat Oct 17 03:14:55 GMT 2020,15
Sat Oct 17 03:14:56 GMT 2020,15
Sat Oct 17 03:14:56 GMT 2020,15
Sat Oct 17 03:14:56 GMT 2020,15
Sat Oct 17 03:14:56 GMT 2020,15
Sat Oct 17 03:14:57 GMT 2020,15
Sat Oct 17 03:14:57 GMT 2020,15
Sat Oct 17 03:14:57 GMT 2020,15
Sat Oct 17 03:14:57 GMT 2020,15
Sat Oct 17 03:14:57 GMT 2020,15
Sat Oct 17 03:14:58 GMT 2020,15
