Time  [ms],Memory Usage [KB]
0,2528104
101,2532268
202,2537220
302,2544228
403,2559756
504,2574332
604,2575944
704,2579500
805,2583280
906,2601156
1007,2600396
1107,2600512
1208,2600872
1308,2602056
1408,2603168
1509,2604364
1609,2594616
1709,2595156
1809,2596356
1910,2595572
2010,2596156
2111,2596028
2211,2600124
2311,2596544
2412,2596348
2512,2597404
2612,2605736
2714,2608576
2813,2620224
2913,2620060
3014,2620992
3115,2625796
3215,2626408
3316,2630628
3416,2633104
3516,2638100
3617,2627520
3717,2628968
3818,2629720
3918,2629508
