Time  [ms],Memory Usage [KB]
0,2405876
103,2411484
203,2414532
304,2422128
354,2422280
454,2445780
555,2446320
655,2448948
755,2469252
856,2470504
956,2469568
1059,2476416
1158,2473904
1258,2472020
1358,2474660
1460,2474784
1560,2475332
1662,2475120
1761,2474728
1861,2474712
1962,2475156
2062,2475680
2163,2475824
2263,2475808
2363,2475804
2464,2476220
2564,2476892
2664,2486052
2766,2486528
2865,2487484
2966,2487092
3066,2487020
3166,2488416
3266,2487788
3367,2488320
3468,2488604
3567,2488028
3669,2488028
3771,2488416
3869,2487772
3970,2487940
4070,2489964
4171,2493452
4270,2491596
4372,2491884
4471,2492252
4572,2499260
4672,2504344
4772,2509180
4873,2503188
4974,2503600
5075,2504044
5175,2500296
5274,2499616
5375,2500888
5475,2500764
5575,2502200
5676,2502188
