datetime,cpu
Sat Oct 17 02:32:35 GMT 2020,15
Sat Oct 17 02:32:35 GMT 2020,15
Sat Oct 17 02:32:35 GMT 2020,15
Sat Oct 17 02:32:36 GMT 2020,15
Sat Oct 17 02:32:36 GMT 2020,15
Sat Oct 17 02:32:36 GMT 2020,15
Sat Oct 17 02:32:36 GMT 2020,15
Sat Oct 17 02:32:36 GMT 2020,15
Sat Oct 17 02:32:37 GMT 2020,15
Sat Oct 17 02:32:37 GMT 2020,15
Sat Oct 17 02:32:37 GMT 2020,15
Sat Oct 17 02:32:37 GMT 2020,15
Sat Oct 17 02:32:38 GMT 2020,15
Sat Oct 17 02:32:38 GMT 2020,15
Sat Oct 17 02:32:38 GMT 2020,15
Sat Oct 17 02:32:38 GMT 2020,15
Sat Oct 17 02:32:38 GMT 2020,15
Sat Oct 17 02:32:39 GMT 2020,15
Sat Oct 17 02:32:39 GMT 2020,15
