Time  [ms],Memory Usage [KB]
0,2415580
102,2423844
152,2427672
256,2424488
353,2447108
454,2448628
554,2448864
655,2452396
755,2472368
855,2472340
956,2475896
1058,2467200
1156,2472520
1257,2463276
1357,2462824
1460,2463532
1558,2461500
1661,2461724
1760,2459296
1860,2459736
1960,2461056
2060,2460132
2162,2460528
2261,2462496
2361,2464688
2463,2467296
2563,2472024
2664,2484756
2764,2486024
2865,2496280
2966,2498532
3067,2502512
3166,2504484
3267,2504384
3367,2505644
3469,2506248
3570,2506664
3671,2506504
3771,2510812
