Time  [ms],Memory Usage [KB]
0,2520948
100,2521008
202,2525692
302,2542264
403,2546488
504,2564716
604,2564032
704,2567864
804,2586652
905,2587212
1005,2585876
1106,2585808
1206,2585692
1307,2585692
1407,2585820
1508,2585820
1609,2585840
1709,2585512
1808,2586008
1909,2585940
2012,2586172
2110,2571252
2211,2569864
2311,2572604
2411,2571884
2512,2578508
2612,2581108
2712,2591936
2813,2593288
2913,2599212
3014,2601148
3114,2602664
3215,2610912
3315,2621068
3416,2631344
3516,2633132
