datetime,cpu
Sat Oct 17 13:07:42 GMT 2020,14
Sat Oct 17 13:07:43 GMT 2020,14
Sat Oct 17 13:07:43 GMT 2020,14
Sat Oct 17 13:07:43 GMT 2020,14
Sat Oct 17 13:07:43 GMT 2020,14
Sat Oct 17 13:07:43 GMT 2020,14
Sat Oct 17 13:07:44 GMT 2020,14
Sat Oct 17 13:07:44 GMT 2020,14
Sat Oct 17 13:07:44 GMT 2020,14
Sat Oct 17 13:07:44 GMT 2020,14
Sat Oct 17 13:07:44 GMT 2020,14
Sat Oct 17 13:07:45 GMT 2020,14
Sat Oct 17 13:07:45 GMT 2020,14
Sat Oct 17 13:07:45 GMT 2020,14
Sat Oct 17 13:07:45 GMT 2020,14
Sat Oct 17 13:07:46 GMT 2020,14
Sat Oct 17 13:07:46 GMT 2020,14
Sat Oct 17 13:07:46 GMT 2020,14
Sat Oct 17 13:07:46 GMT 2020,14
Sat Oct 17 13:07:47 GMT 2020,14
Sat Oct 17 13:07:47 GMT 2020,14
Sat Oct 17 13:07:47 GMT 2020,42
Sat Oct 17 13:07:47 GMT 2020,42
Sat Oct 17 13:07:48 GMT 2020,42
Sat Oct 17 13:07:48 GMT 2020,42
Sat Oct 17 13:07:48 GMT 2020,42
Sat Oct 17 13:07:48 GMT 2020,42
Sat Oct 17 13:07:48 GMT 2020,42
Sat Oct 17 13:07:49 GMT 2020,42
Sat Oct 17 13:07:49 GMT 2020,42
Sat Oct 17 13:07:49 GMT 2020,42
Sat Oct 17 13:07:49 GMT 2020,42
Sat Oct 17 13:07:49 GMT 2020,42
Sat Oct 17 13:07:50 GMT 2020,42
Sat Oct 17 13:07:50 GMT 2020,42
Sat Oct 17 13:07:50 GMT 2020,42
Sat Oct 17 13:07:50 GMT 2020,42
