Time  [ms],Memory Usage [KB]
0,2344288
100,2344840
201,2353564
303,2367956
402,2380504
501,2384108
602,2389112
704,2391716
804,2396932
904,2415092
1004,2415424
1104,2414864
1205,2403952
1305,2408412
1406,2407824
1506,2405860
1608,2405128
1707,2405604
1807,2401052
1909,2401612
2008,2403576
2108,2403592
2209,2405252
2309,2405232
2410,2405708
2510,2409612
2610,2411284
2712,2419356
2761,2419356
2864,2421188
2961,2420012
3062,2419720
3162,2421076
3263,2421168
3363,2422716
3463,2423572
3564,2425380
3664,2424756
3764,2426572
3865,2428076
3966,2427804
4065,2430836
4166,2431112
4266,2432676
4368,2433112
4467,2433804
4567,2440992
4668,2443280
4768,2444072
4869,2443652
4969,2441964
5070,2441964
5170,2441560
5272,2441560
5372,2441500
5472,2441544
5573,2441544
5673,2442324
5775,2441584
5875,2441836
5974,2440504
6077,2440508
6176,2441560
6277,2442148
6377,2442908
6477,2441504
6577,2452348
6678,2460056
6778,2459916
6880,2459328
6982,2458280
7080,2460016
7181,2461596
7281,2461296
