datetime,cpu
Fri Oct 16 19:43:10 GMT 2020,15
Fri Oct 16 19:43:10 GMT 2020,15
Fri Oct 16 19:43:10 GMT 2020,15
Fri Oct 16 19:43:10 GMT 2020,15
Fri Oct 16 19:43:11 GMT 2020,15
Fri Oct 16 19:43:11 GMT 2020,15
Fri Oct 16 19:43:11 GMT 2020,15
Fri Oct 16 19:43:11 GMT 2020,15
Fri Oct 16 19:43:12 GMT 2020,15
Fri Oct 16 19:43:12 GMT 2020,15
Fri Oct 16 19:43:12 GMT 2020,15
Fri Oct 16 19:43:12 GMT 2020,15
Fri Oct 16 19:43:12 GMT 2020,15
Fri Oct 16 19:43:13 GMT 2020,15
Fri Oct 16 19:43:13 GMT 2020,15
Fri Oct 16 19:43:13 GMT 2020,15
Fri Oct 16 19:43:13 GMT 2020,15
Fri Oct 16 19:43:14 GMT 2020,15
Fri Oct 16 19:43:14 GMT 2020,15
