datetime,cpu
Sat Oct 17 06:52:24 GMT 2020,15
Sat Oct 17 06:52:24 GMT 2020,15
Sat Oct 17 06:52:24 GMT 2020,15
Sat Oct 17 06:52:25 GMT 2020,15
Sat Oct 17 06:52:25 GMT 2020,15
Sat Oct 17 06:52:25 GMT 2020,15
Sat Oct 17 06:52:25 GMT 2020,15
Sat Oct 17 06:52:26 GMT 2020,15
Sat Oct 17 06:52:26 GMT 2020,15
Sat Oct 17 06:52:26 GMT 2020,15
Sat Oct 17 06:52:26 GMT 2020,15
Sat Oct 17 06:52:27 GMT 2020,15
Sat Oct 17 06:52:27 GMT 2020,15
Sat Oct 17 06:52:27 GMT 2020,15
Sat Oct 17 06:52:27 GMT 2020,15
Sat Oct 17 06:52:27 GMT 2020,15
Sat Oct 17 06:52:28 GMT 2020,15
