Time  [ms],Memory Usage [KB]
0,2433124
100,2440804
204,2443684
301,2450160
402,2474416
503,2473512
603,2478400
704,2496904
804,2499088
905,2502512
1005,2493096
1105,2489744
1206,2493824
1307,2496076
1408,2495684
1509,2496200
1559,2496452
1660,2496016
1760,2495528
1860,2491876
1961,2492320
2061,2492644
2161,2492784
2262,2496144
2362,2496468
2462,2501592
2562,2501120
2663,2510516
2767,2514576
2867,2518920
2967,2518868
3068,2522828
3169,2526500
3269,2527140
3370,2526196
