datetime,cpu
Sat Oct 17 17:07:29 GMT 2020,16
Sat Oct 17 17:07:30 GMT 2020,16
Sat Oct 17 17:07:30 GMT 2020,16
Sat Oct 17 17:07:30 GMT 2020,16
Sat Oct 17 17:07:30 GMT 2020,16
Sat Oct 17 17:07:31 GMT 2020,16
Sat Oct 17 17:07:31 GMT 2020,16
Sat Oct 17 17:07:31 GMT 2020,16
Sat Oct 17 17:07:31 GMT 2020,16
Sat Oct 17 17:07:32 GMT 2020,16
Sat Oct 17 17:07:32 GMT 2020,16
Sat Oct 17 17:07:32 GMT 2020,16
Sat Oct 17 17:07:32 GMT 2020,16
Sat Oct 17 17:07:32 GMT 2020,16
Sat Oct 17 17:07:33 GMT 2020,16
Sat Oct 17 17:07:33 GMT 2020,16
Sat Oct 17 17:07:33 GMT 2020,16
Sat Oct 17 17:07:33 GMT 2020,16
