Time  [ms],Memory Usage [KB]
0,2332844
102,2340200
201,2347000
302,2362404
407,2365064
505,2369616
605,2370168
707,2390372
806,2391768
907,2391496
1008,2391304
1107,2392056
1208,2392288
1308,2394868
1408,2398788
1508,2396376
1609,2399344
1709,2401008
1809,2405048
1910,2406920
2010,2408980
2110,2412852
2211,2413644
2311,2417860
2412,2418676
2512,2419288
2612,2425120
2713,2428992
2813,2437840
2913,2439736
3013,2441652
3114,2443952
3214,2447744
3315,2449968
3415,2448864
3515,2452060
3617,2455000
