Time  [ms],Memory Usage [KB]
0,2361396
103,2369532
207,2381392
304,2401356
404,2401060
505,2403820
605,2403828
706,2423424
806,2425056
907,2427148
1007,2426264
1107,2425424
1208,2427072
1309,2430808
1410,2434316
1509,2436468
1610,2436736
1711,2423132
1811,2421588
1911,2422876
2012,2425232
2112,2425428
2213,2428292
2314,2426512
2415,2428220
2516,2428492
2616,2428672
2717,2435404
2817,2434220
2917,2433848
3018,2434516
3118,2436064
3218,2436460
3319,2438124
3419,2437576
3520,2438468
3620,2439132
3721,2440224
3821,2442364
3922,2449584
4022,2456292
4124,2457896
4224,2459144
4326,2460236
4425,2461988
4526,2461312
4629,2464516
4728,2463728
4829,2462416
4930,2461508
5029,2448920
5135,2446224
