Time  [ms],Memory Usage [KB]
0,2375472
100,2377868
201,2384072
302,2385160
403,2390328
503,2411116
603,2412292
705,2426496
804,2431148
905,2432468
1010,2431288
1107,2432136
1207,2436556
1308,2436980
1408,2437112
1509,2437468
1610,2437984
1711,2437984
1811,2438416
1911,2438416
2012,2438512
2113,2438512
2213,2438332
2314,2438692
2415,2438680
2515,2438908
2617,2438908
2716,2446136
2817,2446540
2917,2446540
3018,2447004
3119,2447408
3219,2447864
3320,2443552
3422,2443104
3522,2443432
3622,2442648
3724,2442600
3825,2442828
3924,2443300
4026,2443300
4126,2443300
4226,2443548
4330,2443352
4428,2443152
4530,2443152
4630,2442988
4730,2431508
4831,2431624
4931,2428068
5032,2428068
5133,2428196
5234,2428196
5334,2428952
5434,2427856
5536,2428188
5635,2428012
5737,2427620
5836,2427844
5938,2428148
6038,2429812
6138,2430504
6240,2429804
6339,2429152
6440,2435632
6540,2431380
6641,2428732
6741,2428732
6842,2430264
6942,2430352
7043,2414144
7143,2413572
7244,2413184
7344,2413736
7449,2413320
7547,2413736
7649,2413224
7748,2413036
7849,2412748
7950,2412552
8054,2412652
8156,2412652
8252,2412920
8353,2412580
8454,2412020
8556,2411912
8657,2412436
8757,2412644
8859,2412644
8959,2412752
9060,2412808
9161,2412808
9261,2412228
9363,2412228
9464,2412248
9564,2412188
9665,2412220
9765,2413524
9866,2416816
9966,2424984
10067,2429784
10167,2427612
10268,2430660
10370,2433592
10469,2443092
10569,2453788
10670,2455860
10771,2458076
10874,2458148
10976,2458628
11072,2459336
