Time  [ms],Memory Usage [KB]
0,2345372
99,2353096
199,2360292
300,2383688
400,2381624
502,2383340
601,2385444
702,2402272
802,2405144
855,2406164
955,2409696
1055,2408588
1155,2409108
1256,2409240
1356,2408264
1457,2409152
1559,2407668
1657,2408448
1759,2408352
1859,2408296
1959,2407128
2060,2406932
2160,2406624
2261,2406624
2361,2406644
2462,2407060
2563,2407060
2662,2418876
2763,2422612
2864,2421956
2963,2424572
3064,2424100
3164,2424568
3264,2422852
3365,2422436
3465,2424000
3566,2430180
3666,2424256
3766,2425152
3866,2423540
3967,2430728
4068,2423900
4168,2422572
4270,2424796
4369,2425524
4469,2427044
4569,2426796
4670,2427660
4770,2423424
4871,2421376
4971,2419864
5071,2420456
5172,2420108
5275,2420320
5374,2421488
5474,2420904
5574,2419648
5674,2420276
5775,2423340
5875,2424328
5976,2425348
6076,2426816
6176,2428048
6277,2426768
6377,2435736
6478,2429316
6579,2428300
6679,2428428
6781,2428232
6881,2429328
6981,2425408
7082,2409944
7182,2409272
7286,2409444
7385,2409344
7486,2409596
7586,2410496
7686,2410732
7786,2410752
7887,2409772
7987,2411656
8090,2411068
8189,2411432
8290,2411348
8391,2411588
8491,2414900
8591,2414164
8692,2414708
8792,2415068
8894,2415812
8994,2415352
9096,2415652
9196,2415952
9296,2417392
9398,2417392
9496,2417684
9597,2418248
9697,2419904
9799,2426288
9899,2426724
9999,2427760
10100,2427908
10200,2428120
10300,2428932
10401,2429776
10501,2429776
10601,2431736
10702,2431684
10802,2432684
10903,2432564
11003,2452396
11104,2453892
11204,2456868
11305,2458764
11405,2461516
11505,2459868
11605,2468140
11706,2469372
11806,2474084
11907,2470872
12008,2476056
12108,2490032
12208,2489752
12309,2490584
12409,2491564
12511,2494372
12610,2499604
12712,2502660
12811,2508268
12913,2508808
13012,2510400
13113,2515176
13213,2516024
13314,2514936
13415,2515240
13515,2516748
13616,2509356
13715,2496060
13816,2493372
13916,2492116
14016,2491048
14117,2490520
14217,2493548
