datetime,cpu
Sat Oct 17 07:08:46 GMT 2020,15
Sat Oct 17 07:08:46 GMT 2020,15
Sat Oct 17 07:08:46 GMT 2020,15
Sat Oct 17 07:08:46 GMT 2020,15
Sat Oct 17 07:08:47 GMT 2020,15
Sat Oct 17 07:08:47 GMT 2020,15
Sat Oct 17 07:08:47 GMT 2020,15
Sat Oct 17 07:08:47 GMT 2020,15
Sat Oct 17 07:08:48 GMT 2020,15
Sat Oct 17 07:08:48 GMT 2020,15
Sat Oct 17 07:08:48 GMT 2020,15
Sat Oct 17 07:08:48 GMT 2020,15
Sat Oct 17 07:08:48 GMT 2020,15
Sat Oct 17 07:08:49 GMT 2020,15
Sat Oct 17 07:08:49 GMT 2020,15
Sat Oct 17 07:08:49 GMT 2020,15
Sat Oct 17 07:08:49 GMT 2020,15
Sat Oct 17 07:08:49 GMT 2020,15
