Time  [ms],Memory Usage [KB]
0,2556492
101,2562684
201,2574884
251,2589172
351,2592340
452,2603692
552,2606684
652,2609480
753,2612664
853,2631316
954,2630204
1054,2630760
1154,2629104
1254,2630324
1355,2630228
1455,2628172
1556,2629768
1657,2630400
1757,2630724
1856,2631096
1957,2632248
2057,2637132
2158,2635796
2258,2635532
2359,2635824
2459,2636564
2559,2640600
2660,2648580
2761,2653048
2861,2653524
2962,2650916
3062,2650780
3163,2652676
3264,2657136
3364,2657692
3464,2656052
