Time  [ms],Memory Usage [KB]
0,2335460
101,2337324
204,2345404
302,2355212
403,2360344
503,2377584
605,2379316
705,2384812
805,2404700
906,2405164
1006,2403580
1106,2400992
1207,2401716
1307,2403120
1407,2409880
1508,2412164
1608,2412148
1712,2401880
1809,2408112
1910,2409780
2010,2411496
2110,2411540
2210,2410772
2311,2411652
2414,2413404
2514,2414544
2616,2416096
2715,2414036
2816,2412300
2916,2413988
3019,2414208
3118,2414012
3219,2413604
3319,2412820
3420,2411820
3520,2419724
3620,2420824
3720,2438112
3821,2438752
3922,2450820
