datetime,cpu
Sat Oct 17 16:51:02 GMT 2020,15
Sat Oct 17 16:51:02 GMT 2020,15
Sat Oct 17 16:51:02 GMT 2020,15
Sat Oct 17 16:51:02 GMT 2020,15
Sat Oct 17 16:51:03 GMT 2020,15
Sat Oct 17 16:51:03 GMT 2020,15
Sat Oct 17 16:51:03 GMT 2020,15
Sat Oct 17 16:51:03 GMT 2020,15
Sat Oct 17 16:51:03 GMT 2020,15
Sat Oct 17 16:51:04 GMT 2020,15
Sat Oct 17 16:51:04 GMT 2020,15
Sat Oct 17 16:51:04 GMT 2020,15
Sat Oct 17 16:51:04 GMT 2020,15
Sat Oct 17 16:51:05 GMT 2020,15
Sat Oct 17 16:51:05 GMT 2020,15
Sat Oct 17 16:51:05 GMT 2020,15
Sat Oct 17 16:51:05 GMT 2020,15
Sat Oct 17 16:51:05 GMT 2020,15
Sat Oct 17 16:51:06 GMT 2020,15
Sat Oct 17 16:51:06 GMT 2020,15
Sat Oct 17 16:51:06 GMT 2020,15
Sat Oct 17 16:51:06 GMT 2020,15
Sat Oct 17 16:51:07 GMT 2020,15
Sat Oct 17 16:51:07 GMT 2020,15
