Time  [ms],Memory Usage [KB]
0,2358748
100,2363804
201,2369516
301,2386068
402,2395056
502,2404464
602,2403448
703,2406340
803,2426716
905,2427340
1005,2429816
1108,2430252
1206,2431408
1307,2432616
1407,2438364
1508,2439808
1608,2439176
1708,2440584
1808,2440780
1908,2440248
2009,2441188
2110,2439404
2210,2439596
2310,2441128
2410,2441748
2511,2442700
2611,2444140
2712,2453296
2812,2455300
2912,2455820
3013,2456484
3113,2456652
3213,2457736
3313,2458756
3414,2464920
3515,2469120
3615,2470904
3715,2472064
3816,2472500
3919,2473984
4016,2477008
4117,2480572
4217,2482168
4317,2483488
4418,2486904
4520,2488140
