datetime,cpu
Fri Oct 16 21:11:43 GMT 2020,16
Fri Oct 16 21:11:43 GMT 2020,16
Fri Oct 16 21:11:43 GMT 2020,16
Fri Oct 16 21:11:43 GMT 2020,16
Fri Oct 16 21:11:44 GMT 2020,16
Fri Oct 16 21:11:44 GMT 2020,16
Fri Oct 16 21:11:44 GMT 2020,16
Fri Oct 16 21:11:44 GMT 2020,16
Fri Oct 16 21:11:45 GMT 2020,16
Fri Oct 16 21:11:45 GMT 2020,16
Fri Oct 16 21:11:45 GMT 2020,16
Fri Oct 16 21:11:45 GMT 2020,16
Fri Oct 16 21:11:45 GMT 2020,16
Fri Oct 16 21:11:46 GMT 2020,16
Fri Oct 16 21:11:46 GMT 2020,16
Fri Oct 16 21:11:46 GMT 2020,16
Fri Oct 16 21:11:46 GMT 2020,16
