Time  [ms],Memory Usage [KB]
0,2622448
102,2630364
150,2630024
303,2659616
402,2660024
453,2661284
553,2663420
653,2666244
756,2687516
857,2687616
957,2687892
1057,2683968
1158,2684296
1259,2684868
1359,2685900
1458,2689948
1559,2694560
1661,2694928
1763,2694928
1863,2694660
1964,2694880
2065,2692340
2164,2696260
2265,2693164
2366,2696496
2467,2700876
2568,2701116
2669,2711628
2769,2710316
2870,2712020
2970,2714624
3072,2712632
3172,2714352
3273,2714960
3373,2724244
3473,2723632
