datetime,cpu
Sat Oct 17 16:13:46 GMT 2020,16
Sat Oct 17 16:13:46 GMT 2020,16
Sat Oct 17 16:13:46 GMT 2020,16
Sat Oct 17 16:13:47 GMT 2020,16
Sat Oct 17 16:13:47 GMT 2020,16
Sat Oct 17 16:13:47 GMT 2020,16
Sat Oct 17 16:13:47 GMT 2020,16
Sat Oct 17 16:13:47 GMT 2020,16
Sat Oct 17 16:13:48 GMT 2020,16
Sat Oct 17 16:13:48 GMT 2020,16
Sat Oct 17 16:13:48 GMT 2020,16
Sat Oct 17 16:13:48 GMT 2020,16
Sat Oct 17 16:13:48 GMT 2020,16
Sat Oct 17 16:13:49 GMT 2020,16
Sat Oct 17 16:13:49 GMT 2020,16
