Time  [ms],Memory Usage [KB]
0,2428632
102,2430736
200,2438068
301,2443372
402,2448404
502,2451512
602,2454208
702,2456512
803,2459596
903,2480872
1004,2483932
1105,2485604
1206,2489284
1306,2485296
1406,2488064
1507,2490656
1608,2490656
1708,2489496
1808,2488172
1908,2488072
2009,2488684
2110,2488684
2210,2488320
2311,2488320
2411,2489288
2511,2488096
2612,2488828
2712,2491664
2812,2494336
2912,2506140
3012,2507540
3113,2512020
3213,2512824
3314,2516912
3414,2514508
3515,2513044
3615,2513448
3715,2516040
3816,2515436
3916,2515580
4017,2516024
