datetime,cpu
Sat Oct 17 08:06:55 GMT 2020,16
Sat Oct 17 08:06:55 GMT 2020,16
Sat Oct 17 08:06:55 GMT 2020,16
Sat Oct 17 08:06:55 GMT 2020,16
Sat Oct 17 08:06:56 GMT 2020,16
Sat Oct 17 08:06:56 GMT 2020,16
Sat Oct 17 08:06:56 GMT 2020,16
Sat Oct 17 08:06:56 GMT 2020,16
Sat Oct 17 08:06:57 GMT 2020,16
Sat Oct 17 08:06:57 GMT 2020,16
Sat Oct 17 08:06:57 GMT 2020,16
Sat Oct 17 08:06:57 GMT 2020,16
Sat Oct 17 08:06:58 GMT 2020,16
Sat Oct 17 08:06:58 GMT 2020,16
Sat Oct 17 08:06:58 GMT 2020,16
Sat Oct 17 08:06:58 GMT 2020,16
