datetime,cpu
Sat Oct 17 04:13:40 GMT 2020,15
Sat Oct 17 04:13:41 GMT 2020,15
Sat Oct 17 04:13:41 GMT 2020,15
Sat Oct 17 04:13:41 GMT 2020,15
Sat Oct 17 04:13:41 GMT 2020,15
Sat Oct 17 04:13:42 GMT 2020,15
Sat Oct 17 04:13:42 GMT 2020,15
Sat Oct 17 04:13:42 GMT 2020,15
Sat Oct 17 04:13:42 GMT 2020,15
Sat Oct 17 04:13:42 GMT 2020,15
Sat Oct 17 04:13:43 GMT 2020,15
Sat Oct 17 04:13:43 GMT 2020,15
Sat Oct 17 04:13:43 GMT 2020,15
Sat Oct 17 04:13:43 GMT 2020,15
Sat Oct 17 04:13:44 GMT 2020,15
Sat Oct 17 04:13:44 GMT 2020,15
Sat Oct 17 04:13:44 GMT 2020,15
