datetime,cpu
Sat Oct 17 18:23:46 GMT 2020,14
Sat Oct 17 18:23:46 GMT 2020,14
Sat Oct 17 18:23:46 GMT 2020,14
Sat Oct 17 18:23:47 GMT 2020,14
Sat Oct 17 18:23:47 GMT 2020,14
Sat Oct 17 18:23:47 GMT 2020,14
Sat Oct 17 18:23:47 GMT 2020,14
Sat Oct 17 18:23:47 GMT 2020,14
Sat Oct 17 18:23:48 GMT 2020,14
Sat Oct 17 18:23:48 GMT 2020,14
Sat Oct 17 18:23:48 GMT 2020,14
Sat Oct 17 18:23:48 GMT 2020,14
Sat Oct 17 18:23:49 GMT 2020,14
Sat Oct 17 18:23:49 GMT 2020,14
Sat Oct 17 18:23:49 GMT 2020,14
