datetime,cpu
Sat Oct 17 02:56:13 GMT 2020,15
Sat Oct 17 02:56:13 GMT 2020,15
Sat Oct 17 02:56:13 GMT 2020,15
Sat Oct 17 02:56:13 GMT 2020,15
Sat Oct 17 02:56:14 GMT 2020,15
Sat Oct 17 02:56:14 GMT 2020,15
Sat Oct 17 02:56:14 GMT 2020,15
Sat Oct 17 02:56:14 GMT 2020,15
Sat Oct 17 02:56:14 GMT 2020,15
Sat Oct 17 02:56:15 GMT 2020,15
Sat Oct 17 02:56:15 GMT 2020,15
Sat Oct 17 02:56:15 GMT 2020,15
Sat Oct 17 02:56:15 GMT 2020,15
Sat Oct 17 02:56:16 GMT 2020,15
Sat Oct 17 02:56:16 GMT 2020,15
Sat Oct 17 02:56:16 GMT 2020,15
Sat Oct 17 02:56:16 GMT 2020,15
Sat Oct 17 02:56:16 GMT 2020,15
Sat Oct 17 02:56:17 GMT 2020,15
Sat Oct 17 02:56:17 GMT 2020,15
Sat Oct 17 02:56:17 GMT 2020,15
Sat Oct 17 02:56:17 GMT 2020,44
Sat Oct 17 02:56:18 GMT 2020,44
Sat Oct 17 02:56:18 GMT 2020,44
Sat Oct 17 02:56:18 GMT 2020,44
