Time  [ms],Memory Usage [KB]
0,2696400
103,2699116
153,2702116
254,2713892
355,2721060
455,2741028
555,2741616
655,2743076
755,2763672
856,2766776
956,2766756
1057,2761856
1157,2766220
1259,2770316
1359,2761812
1459,2761420
1561,2763956
1659,2766376
1760,2767344
1860,2768932
1960,2762908
2061,2764868
2161,2765176
2262,2765544
2362,2765728
2463,2767312
2563,2768760
2663,2774044
2764,2775216
2864,2776176
2964,2776464
3065,2776304
3165,2777728
3266,2777824
3367,2779456
3466,2779536
3567,2780068
3667,2782344
3768,2785968
3868,2796076
3969,2799572
4069,2800504
4171,2801248
4270,2802372
4372,2803008
4471,2802592
4571,2805172
4672,2806412
4773,2797516
4874,2798312
