Time  [ms],Memory Usage [KB]
0,2300608
101,2311440
201,2318660
301,2324840
403,2328840
503,2353876
603,2356748
704,2357564
805,2359232
905,2379652
1005,2382788
1106,2389604
1206,2392016
1308,2395740
1408,2388544
1508,2392892
1608,2393696
1708,2393532
1809,2393392
1909,2393676
2010,2393020
2110,2396824
2210,2399076
2310,2406352
2411,2409904
2511,2417252
2613,2421976
2713,2424448
2814,2425348
2914,2430328
3014,2430976
3114,2431508
3216,2428764
3317,2429076
3416,2429396
3517,2429200
3617,2424056
3717,2423372
3818,2427864
3918,2430516
