Time  [ms],Memory Usage [KB]
0,2415984
100,2423552
202,2433800
302,2446944
402,2457844
502,2456132
603,2460840
705,2478828
805,2482600
905,2484348
1007,2488448
1107,2474768
1207,2474376
1310,2474304
1409,2475256
1509,2475468
1610,2475128
1712,2474932
1811,2475928
1912,2475532
2012,2475336
2113,2476016
2213,2475196
2313,2475160
2415,2473200
2514,2473520
2614,2479848
2716,2480388
2815,2484124
2915,2485948
3017,2492800
3118,2493876
3218,2495440
3318,2495528
3418,2495156
3518,2495380
3619,2496656
3720,2496068
3820,2496368
3921,2492120
4021,2491236
4121,2491976
4224,2491388
4322,2491352
4424,2491352
4524,2492700
4624,2492192
4725,2492916
4825,2493280
4927,2487520
5026,2487480
5127,2487296
5227,2488900
5329,2488300
5428,2488532
5530,2488836
5633,2488836
5730,2489608
5830,2489072
5930,2485288
6031,2486252
6131,2485960
6232,2487168
6332,2496548
6432,2489416
6533,2486568
6633,2487268
6733,2487320
6834,2488376
6936,2488376
7035,2476408
7135,2473020
7236,2472940
7337,2472404
7438,2472872
7537,2473120
7637,2473332
7739,2473520
7839,2473360
7939,2473512
8040,2473120
8141,2473056
8240,2474008
8342,2474008
8441,2474064
8543,2474308
8643,2474576
8743,2474632
8844,2474632
8946,2475240
9045,2475788
9145,2475920
9245,2476296
9347,2475700
9447,2475932
9547,2476184
9648,2476632
9748,2476296
9848,2477148
9948,2477744
10049,2477400
10149,2478092
10251,2478092
10350,2479016
10450,2478984
10551,2479272
10652,2479376
10752,2479112
10853,2479704
10953,2480136
11053,2480560
11153,2480756
11254,2481676
11354,2482128
11455,2482900
11555,2483472
11659,2483548
11758,2486116
11858,2485440
11958,2487236
12058,2487660
12159,2488120
12260,2496776
12359,2499488
12460,2517260
12561,2519740
12661,2522572
12763,2524060
12863,2524208
12963,2532076
13063,2535044
13164,2551844
13264,2543988
13364,2548476
13465,2549468
13566,2551008
13666,2552144
13768,2552800
13867,2554244
13967,2560644
14067,2582168
14168,2584640
14268,2585388
14369,2586560
14471,2590732
14570,2594304
14671,2594712
14770,2591260
14871,2591464
14972,2583036
15072,2575000
15172,2576224
15273,2578556
15373,2572992
15473,2568540
