Time  [ms],Memory Usage [KB]
0,2470992
100,2451392
201,2453652
301,2454312
401,2455664
503,2453772
603,2448312
703,2467260
804,2468456
905,2470252
1006,2474400
1106,2475076
1206,2484156
1307,2489384
1407,2494532
1507,2493584
1608,2498504
1708,2496864
1809,2497204
1909,2498512
2009,2499100
2110,2499156
2210,2500328
2311,2500132
2411,2500232
2512,2497224
2612,2494308
2713,2494744
2815,2497208
2916,2517684
3017,2526964
3117,2523804
3217,2525948
3318,2527956
3422,2531128
3522,2551720
3623,2558152
3724,2559316
