Time  [ms],Memory Usage [KB]
0,2485276
101,2485532
201,2488284
302,2488096
402,2490396
503,2489412
604,2502324
704,2504272
804,2500908
905,2501800
1006,2503780
1106,2507252
1207,2506804
1308,2507788
1409,2514440
1509,2514396
1609,2517608
1710,2520524
1810,2523360
1911,2524252
2011,2524948
2112,2526172
2213,2526172
2313,2527320
2415,2526872
2515,2527024
2616,2527064
2715,2528116
2816,2529488
2916,2530564
3016,2532420
3118,2532636
3219,2534876
3317,2534936
3420,2536720
3518,2534616
3619,2535104
3720,2536232
3820,2537512
3921,2538732
4021,2540508
4121,2543820
4222,2547236
4322,2569964
4422,2572020
4523,2602936
4623,2601436
4724,2602716
4825,2603232
4925,2602964
5025,2620316
5125,2650748
5225,2651524
