Time  [ms],Memory Usage [KB]
0,2437720
100,2438772
201,2440840
302,2441856
402,2442980
503,2441176
603,2444664
703,2466028
804,2467828
906,2463528
1005,2457644
1106,2460200
1207,2463428
1308,2463212
1407,2463172
1508,2472680
1608,2474508
1709,2489784
1809,2491348
1916,2498996
2014,2500392
2115,2504200
2215,2506432
2316,2508788
2416,2510548
2518,2510304
2617,2509468
2719,2509508
2818,2510348
2919,2510260
3019,2510296
3120,2510504
3221,2510504
3320,2510532
3422,2511772
3521,2517904
3622,2494080
3722,2495524
3823,2496912
3923,2498176
4023,2500024
4124,2502632
4224,2503816
4340,2523760
4425,2537640
4525,2543388
4625,2546256
4726,2546240
4826,2549380
4928,2550932
5027,2552940
5127,2553740
5229,2557328
5329,2560596
