Time  [ms],Memory Usage [KB]
0,2467516
100,2463028
201,2464340
301,2464928
403,2463188
502,2463404
602,2464940
703,2484868
803,2487916
904,2486408
1004,2484996
1105,2487716
1205,2490124
1305,2489896
1406,2500808
1506,2503292
1607,2501976
1707,2502344
1808,2504716
1908,2508380
2010,2509132
2109,2492564
2210,2497348
2310,2500500
2411,2513208
2511,2538656
2611,2545620
2712,2548944
2812,2551444
2912,2554368
3013,2556888
3113,2560144
3213,2561892
3314,2586664
3414,2590072
3514,2597516
3615,2598020
3717,2613100
3815,2608580
3916,2616712
4016,2618248
