datetime,cpu
Sun Oct 18 00:40:58 GMT 2020,28
Sun Oct 18 00:40:58 GMT 2020,28
Sun Oct 18 00:40:58 GMT 2020,28
Sun Oct 18 00:40:58 GMT 2020,28
Sun Oct 18 00:40:58 GMT 2020,28
Sun Oct 18 00:40:59 GMT 2020,28
Sun Oct 18 00:40:59 GMT 2020,28
Sun Oct 18 00:40:59 GMT 2020,28
Sun Oct 18 00:40:59 GMT 2020,28
Sun Oct 18 00:40:59 GMT 2020,28
Sun Oct 18 00:41:00 GMT 2020,28
Sun Oct 18 00:41:00 GMT 2020,28
Sun Oct 18 00:41:00 GMT 2020,28
Sun Oct 18 00:41:00 GMT 2020,28
Sun Oct 18 00:41:01 GMT 2020,28
Sun Oct 18 00:41:01 GMT 2020,28
Sun Oct 18 00:41:01 GMT 2020,28
Sun Oct 18 00:41:01 GMT 2020,28
