Time  [ms],Memory Usage [KB]
0,2469180
101,2463328
201,2465556
302,2465256
402,2467208
502,2465704
603,2485900
704,2487336
804,2491756
905,2490064
1005,2493248
1105,2501032
1206,2504308
1306,2509504
1406,2509996
1507,2521544
1607,2523288
1710,2530584
1810,2543468
1911,2538540
2011,2543392
2111,2543128
2212,2545396
2313,2545724
2413,2552096
2513,2546444
2614,2557852
2715,2559216
2814,2560724
2915,2562840
3015,2563648
3115,2564228
3216,2564868
3317,2546692
3417,2547976
3517,2559804
3617,2562660
3718,2563288
3818,2568184
3919,2567448
4019,2570980
