Time  [ms],Memory Usage [KB]
0,2439276
99,2436036
200,2438380
301,2438320
401,2439188
501,2437604
602,2439580
703,2458676
803,2460728
904,2462060
1004,2462812
1104,2464480
1204,2455588
1305,2458844
1405,2464200
1507,2473516
1609,2472324
1710,2470656
1810,2471748
1911,2474796
2010,2477132
2110,2479900
2211,2481332
2312,2481592
2412,2483056
2513,2485596
2614,2483668
2716,2486300
2815,2488768
2915,2505724
3015,2508544
3115,2510304
3216,2509584
3316,2502820
3417,2504844
3517,2506804
3618,2508176
3718,2510360
3818,2512148
3918,2512852
4019,2520852
4119,2525524
4219,2559632
