Time  [ms],Memory Usage [KB]
0,2623872
101,2619048
201,2619356
301,2620504
401,2622176
502,2622844
602,2618656
702,2638656
803,2634860
903,2637568
1005,2638348
1104,2639416
1204,2639936
1305,2646576
1405,2646396
1506,2651708
1607,2656384
1707,2660536
1808,2659120
1908,2659412
2009,2658800
2109,2661176
2209,2662180
2309,2663412
2410,2664708
2510,2667860
2612,2675216
2712,2701132
2813,2744944
2913,2748476
3013,2742780
3114,2745196
3214,2761684
3314,2763904
3415,2764904
3515,2768780
3616,2775940
3716,2774432
3817,2773524
3917,2776928
