Time  [ms],Memory Usage [KB]
0,2456888
101,2457284
200,2459404
301,2459796
401,2460160
502,2458816
602,2461000
703,2480384
803,2481624
904,2481768
1004,2483700
1104,2493980
1205,2495216
1305,2500568
1405,2505868
1506,2508924
1610,2514200
1710,2514452
1811,2513308
1911,2507064
2012,2508960
2112,2510188
2213,2514832
2314,2514932
2414,2517580
2514,2519136
2615,2519544
2716,2517180
2816,2518724
2917,2523800
3017,2545480
3119,2550056
3218,2553224
3318,2570640
3419,2571920
3520,2573508
3621,2574720
3725,2576220
3822,2575480
3926,2577536
4026,2578344
