Time  [ms],Memory Usage [KB]
0,2605236
100,2588240
201,2590136
301,2590356
402,2590916
502,2591096
605,2593268
705,2612820
807,2613912
906,2613868
1006,2615348
1108,2625980
1208,2627640
1311,2635272
1408,2638224
1510,2633656
1610,2633780
1710,2633080
1811,2634696
1912,2636028
2012,2638364
2112,2641688
2212,2646148
2313,2644016
2413,2641984
2514,2645224
2614,2656584
2715,2660192
2815,2663820
2916,2665176
3016,2666244
3116,2667972
3216,2668368
3317,2682068
3417,2707732
3518,2730448
