Time  [ms],Memory Usage [KB]
0,2524228
100,2508224
200,2509264
301,2508584
401,2509264
501,2508608
603,2512988
702,2529176
803,2531960
903,2532532
1003,2533432
1104,2542700
1204,2545740
1306,2550392
1406,2554404
1507,2555352
1608,2562780
1708,2561296
1808,2559864
1910,2562264
2009,2562648
2110,2563956
2211,2563648
2311,2564028
2412,2564296
2512,2560544
2612,2557860
2713,2557716
2813,2558728
2915,2559024
3015,2560356
3115,2561788
3215,2576568
3316,2580300
3416,2578020
3518,2578128
3618,2574032
3717,2569704
3818,2578412
3918,2570760
4018,2591148
4119,2602420
4219,2611980
4320,2618480
4420,2618976
