Time  [ms],Memory Usage [KB]
0,2533680
101,2534964
201,2536472
301,2536696
405,2539392
505,2543360
605,2545880
707,2558732
806,2559164
907,2560720
1007,2559808
1107,2562004
1208,2560188
1308,2569168
1409,2571884
1509,2577980
1609,2579860
1710,2582332
1810,2582648
1910,2583884
2011,2587632
2111,2593484
2211,2597560
2313,2599668
2413,2603480
2513,2604820
2614,2631420
2714,2653596
2814,2649680
2915,2654128
3016,2654500
3116,2681076
3216,2687724
3317,2675056
3417,2676856
