Time  [ms],Memory Usage [KB]
0,2423904
100,2424656
200,2425668
301,2425684
401,2428628
502,2426540
601,2427928
703,2447552
802,2451176
903,2450956
1003,2459276
1103,2452232
1204,2459128
1305,2462320
1405,2458060
1506,2464696
1607,2463052
1706,2466716
1807,2465724
1907,2466632
2007,2466932
2108,2467620
2208,2466512
2309,2467496
2409,2469356
2510,2471800
2610,2476324
2710,2477912
2811,2479892
2911,2480248
3012,2483232
3112,2482164
3213,2484064
3313,2486208
3414,2488708
3513,2506372
3614,2507788
3714,2508880
3814,2521072
3915,2526516
4015,2529964
4115,2532100
4216,2535012
4316,2538344
4416,2551348
4517,2557440
4617,2569996
4718,2589244
4818,2592788
4918,2596776
5019,2597736
5119,2598936
5220,2598720
5320,2601588
5421,2602384
5521,2613704
5622,2612340
5722,2615348
5822,2618776
