Time  [ms],Memory Usage [KB]
0,2489160
101,2489968
202,2493100
301,2492800
452,2493020
552,2486248
602,2488148
703,2507212
803,2508640
904,2509496
1004,2513724
1105,2517272
1205,2520840
1306,2521580
1407,2523204
1506,2524692
1607,2528452
1711,2530840
1807,2531904
1909,2531768
2008,2534312
2109,2535684
2209,2535872
2309,2539452
2409,2542260
2510,2547948
2610,2549608
2711,2569040
2812,2579852
2912,2581464
3013,2603344
3113,2605532
3214,2608864
3314,2610536
3415,2612180
3518,2617452
3618,2618832
3719,2618216
3820,2619416
3920,2620084
4022,2620980
4123,2622052
