Time  [ms],Memory Usage [KB]
0,2488112
101,2484776
202,2486828
302,2486024
403,2487660
503,2487136
603,2487008
704,2505156
804,2488092
904,2489140
1005,2491148
1105,2498304
1205,2502040
1306,2506488
1406,2513444
1507,2518124
1607,2519136
1707,2523540
1808,2521960
1908,2520244
2008,2521216
2109,2524460
2209,2544476
2310,2562084
2410,2563368
2510,2562808
2610,2572228
2711,2573344
2811,2575900
2918,2580252
3017,2577180
3117,2585412
3217,2580232
3318,2580540
3418,2585536
3518,2592404
3618,2595848
3719,2596916
3819,2598204
