Time  [ms],Memory Usage [KB]
0,2485060
101,2485956
200,2487228
301,2488644
401,2489048
501,2471112
602,2470900
702,2489500
802,2490956
903,2493644
1003,2495428
1103,2497952
1204,2503636
1304,2508048
1404,2512676
1505,2521020
1608,2527360
1705,2522516
1806,2525176
1907,2528492
2007,2531336
2107,2535176
2208,2537824
2309,2538236
2408,2539948
2509,2537212
2609,2554724
2709,2555904
2817,2556068
2912,2560884
3012,2574040
3112,2574836
3212,2578600
3313,2580840
3413,2586328
3513,2586300
3614,2585204
3714,2585268
3815,2586884
