Time  [ms],Memory Usage [KB]
0,2531604
106,2532864
206,2533624
307,2535720
407,2536152
507,2536108
608,2529012
708,2547660
808,2550116
909,2552032
1010,2555784
1110,2563704
1211,2560232
1311,2563084
1411,2563544
1511,2567680
1613,2566904
1713,2571104
1813,2571200
1914,2572756
2014,2568476
2114,2568760
2214,2569068
2316,2569664
2416,2568472
2516,2568568
2616,2568640
2722,2568528
2819,2570768
2920,2572820
3020,2570804
3121,2574392
3222,2574564
3322,2575956
3422,2577764
3522,2577788
3623,2580232
3723,2601100
3824,2603344
3926,2635912
4026,2637164
4125,2640292
4226,2642412
4326,2643652
4426,2644152
4527,2633240
4627,2633008
4728,2679468
4828,2680596
