datetime,cpu
Sun Oct 18 05:39:22 GMT 2020,20
Sun Oct 18 05:39:22 GMT 2020,20
Sun Oct 18 05:39:22 GMT 2020,20
Sun Oct 18 05:39:22 GMT 2020,20
Sun Oct 18 05:39:22 GMT 2020,20
Sun Oct 18 05:39:23 GMT 2020,20
Sun Oct 18 05:39:23 GMT 2020,20
Sun Oct 18 05:39:23 GMT 2020,20
Sun Oct 18 05:39:23 GMT 2020,20
Sun Oct 18 05:39:23 GMT 2020,20
Sun Oct 18 05:39:24 GMT 2020,20
Sun Oct 18 05:39:24 GMT 2020,20
Sun Oct 18 05:39:24 GMT 2020,20
Sun Oct 18 05:39:24 GMT 2020,20
Sun Oct 18 05:39:25 GMT 2020,20
Sun Oct 18 05:39:25 GMT 2020,20
Sun Oct 18 05:39:25 GMT 2020,20
Sun Oct 18 05:39:25 GMT 2020,20
