datetime,cpu
Sun Oct 18 13:32:38 GMT 2020,30
Sun Oct 18 13:32:38 GMT 2020,30
Sun Oct 18 13:32:39 GMT 2020,30
Sun Oct 18 13:32:39 GMT 2020,30
Sun Oct 18 13:32:39 GMT 2020,30
Sun Oct 18 13:32:39 GMT 2020,30
Sun Oct 18 13:32:39 GMT 2020,30
Sun Oct 18 13:32:40 GMT 2020,30
Sun Oct 18 13:32:40 GMT 2020,30
Sun Oct 18 13:32:40 GMT 2020,30
Sun Oct 18 13:32:40 GMT 2020,30
Sun Oct 18 13:32:41 GMT 2020,30
Sun Oct 18 13:32:41 GMT 2020,30
Sun Oct 18 13:32:41 GMT 2020,30
Sun Oct 18 13:32:41 GMT 2020,30
