datetime,cpu
Sun Oct 18 15:06:40 GMT 2020,30
Sun Oct 18 15:06:41 GMT 2020,30
Sun Oct 18 15:06:41 GMT 2020,30
Sun Oct 18 15:06:41 GMT 2020,30
Sun Oct 18 15:06:41 GMT 2020,30
Sun Oct 18 15:06:41 GMT 2020,30
Sun Oct 18 15:06:42 GMT 2020,30
Sun Oct 18 15:06:42 GMT 2020,30
Sun Oct 18 15:06:42 GMT 2020,30
Sun Oct 18 15:06:42 GMT 2020,30
Sun Oct 18 15:06:42 GMT 2020,30
Sun Oct 18 15:06:43 GMT 2020,30
Sun Oct 18 15:06:43 GMT 2020,30
Sun Oct 18 15:06:43 GMT 2020,30
Sun Oct 18 15:06:43 GMT 2020,30
Sun Oct 18 15:06:44 GMT 2020,30
Sun Oct 18 15:06:44 GMT 2020,30
Sun Oct 18 15:06:44 GMT 2020,30
Sun Oct 18 15:06:44 GMT 2020,30
Sun Oct 18 15:06:44 GMT 2020,30
Sun Oct 18 15:06:45 GMT 2020,30
Sun Oct 18 15:06:45 GMT 2020,30
Sun Oct 18 15:06:45 GMT 2020,30
Sun Oct 18 15:06:45 GMT 2020,30
Sun Oct 18 15:06:46 GMT 2020,30
