Time  [ms],Memory Usage [KB]
0,2576744
102,2576800
202,2579664
302,2573712
403,2575012
502,2574232
603,2573456
703,2588964
804,2590704
905,2590020
1005,2591724
1106,2601232
1207,2603912
1306,2607840
1407,2611584
1509,2621936
1610,2625804
1711,2625860
1811,2621784
1911,2624032
2011,2625980
2112,2626680
2212,2626260
2313,2623132
2413,2620940
2513,2622384
2614,2645512
2714,2651156
2817,2653796
2916,2668704
3017,2670300
3117,2676392
3217,2675820
3318,2676132
3418,2676548
3520,2679536
3620,2682828
3721,2684860
3824,2686948
3925,2690116
4025,2701108
4125,2706624
4226,2705140
4327,2709528
4430,2707912
