Time  [ms],Memory Usage [KB]
0,2459828
101,2455212
201,2456248
301,2457380
402,2458692
502,2458592
602,2452088
703,2470096
804,2473700
904,2458880
1004,2456444
1104,2466576
1205,2469292
1305,2473484
1405,2476632
1506,2482620
1607,2482124
1707,2485884
1810,2489216
1909,2477432
2010,2481920
2109,2484744
2210,2490324
2311,2490920
2411,2494668
2512,2517148
2613,2539632
2715,2544860
2813,2543108
2915,2545508
3016,2546796
3116,2549700
3218,2551460
3319,2553968
3419,2570988
3519,2573932
3622,2578632
3721,2578392
3821,2579352
3921,2584740
4022,2586380
4122,2588612
4223,2591220
4323,2592656
4423,2596536
4524,2603976
4624,2613932
4724,2617288
4826,2624300
