datetime,cpu
Sat Oct 17 22:59:39 GMT 2020,30
Sat Oct 17 22:59:39 GMT 2020,30
Sat Oct 17 22:59:39 GMT 2020,30
Sat Oct 17 22:59:39 GMT 2020,30
Sat Oct 17 22:59:40 GMT 2020,30
Sat Oct 17 22:59:40 GMT 2020,30
Sat Oct 17 22:59:40 GMT 2020,30
Sat Oct 17 22:59:40 GMT 2020,30
Sat Oct 17 22:59:41 GMT 2020,30
Sat Oct 17 22:59:41 GMT 2020,30
Sat Oct 17 22:59:41 GMT 2020,30
Sat Oct 17 22:59:41 GMT 2020,30
Sat Oct 17 22:59:41 GMT 2020,30
Sat Oct 17 22:59:42 GMT 2020,30
Sat Oct 17 22:59:42 GMT 2020,30
Sat Oct 17 22:59:42 GMT 2020,30
Sat Oct 17 22:59:42 GMT 2020,30
Sat Oct 17 22:59:43 GMT 2020,30
Sat Oct 17 22:59:43 GMT 2020,30
Sat Oct 17 22:59:43 GMT 2020,30
Sat Oct 17 22:59:43 GMT 2020,30
