Time  [ms],Memory Usage [KB]
0,2641396
53,2641060
152,2638116
253,2638388
352,2639536
453,2638192
556,2640804
657,2659856
757,2663112
858,2661596
958,2663668
1059,2670772
1159,2674316
1260,2682520
1362,2684348
1462,2675336
1563,2685148
1663,2683584
1764,2685980
1864,2686888
1965,2690784
2065,2693216
2165,2697192
2267,2701000
2367,2701884
2472,2700380
2570,2697808
2671,2700600
2771,2706852
2872,2718336
2974,2716524
3073,2717104
3174,2717668
3274,2717164
3374,2717752
3475,2717372
3576,2718364
3677,2715784
3777,2718864
3877,2722652
3978,2724160
4079,2727292
4179,2728080
4279,2731228
4380,2730088
4481,2739976
