Time  [ms],Memory Usage [KB]
0,2590068
103,2570472
203,2573524
304,2573392
404,2573820
505,2568164
605,2571008
707,2588628
806,2589532
906,2589152
1007,2591428
1108,2599216
1208,2601668
1309,2608808
1409,2614956
1510,2617172
1610,2617384
1711,2617776
1811,2615768
1913,2618524
2013,2619008
2114,2621772
2214,2624036
2314,2628476
2414,2631592
2515,2636080
2615,2672036
2717,2698660
2816,2703676
2916,2718272
3017,2718296
3117,2734300
3217,2736756
3319,2737392
3418,2738384
3519,2739200
3619,2739848
3720,2742704
3821,2746012
3920,2746508
4021,2748160
4122,2750696
4222,2750348
4322,2757400
4423,2758820
