datetime,cpu
Sun Oct 18 08:57:03 GMT 2020,27
Sun Oct 18 08:57:04 GMT 2020,27
Sun Oct 18 08:57:04 GMT 2020,27
Sun Oct 18 08:57:04 GMT 2020,27
Sun Oct 18 08:57:04 GMT 2020,27
Sun Oct 18 08:57:05 GMT 2020,27
Sun Oct 18 08:57:05 GMT 2020,27
Sun Oct 18 08:57:05 GMT 2020,27
Sun Oct 18 08:57:05 GMT 2020,27
Sun Oct 18 08:57:05 GMT 2020,27
Sun Oct 18 08:57:06 GMT 2020,27
Sun Oct 18 08:57:06 GMT 2020,27
Sun Oct 18 08:57:06 GMT 2020,27
Sun Oct 18 08:57:06 GMT 2020,27
Sun Oct 18 08:57:06 GMT 2020,27
Sun Oct 18 08:57:07 GMT 2020,27
Sun Oct 18 08:57:07 GMT 2020,27
Sun Oct 18 08:57:07 GMT 2020,27
Sun Oct 18 08:57:07 GMT 2020,27
Sun Oct 18 08:57:08 GMT 2020,27
Sun Oct 18 08:57:08 GMT 2020,27
Sun Oct 18 08:57:08 GMT 2020,27
