Time  [ms],Memory Usage [KB]
0,2462096
100,2463688
150,2464152
251,2465332
351,2466664
451,2466108
551,2467348
652,2485848
752,2487760
853,2487056
953,2489492
1055,2495896
1154,2499084
1254,2499052
1355,2501180
1455,2503140
1556,2514184
1657,2516336
1757,2517492
1857,2517812
1957,2514188
2058,2516060
2158,2518680
2259,2518532
2359,2521920
2460,2515636
2560,2512980
2660,2511912
2761,2515952
2861,2517220
2962,2521412
3067,2541940
3162,2547860
3262,2551700
3363,2567444
3463,2574136
3564,2579908
3665,2582340
3765,2582952
3865,2584268
3966,2584292
