Time  [ms],Memory Usage [KB]
0,2552828
100,2534736
200,2536300
300,2537868
401,2538276
501,2537928
601,2538484
702,2556664
802,2558272
903,2560388
1003,2560664
1103,2567852
1204,2571956
1304,2577040
1405,2585248
1506,2593996
1606,2592220
1706,2592724
1806,2588924
1908,2589012
2008,2589644
2108,2588960
2208,2588172
2308,2589280
2409,2604532
2509,2603444
2609,2596728
2710,2599652
2810,2601784
2911,2602676
3011,2602764
3112,2605468
3213,2625368
3315,2628264
3415,2642100
