Time  [ms],Memory Usage [KB]
0,2454284
100,2455564
200,2456544
301,2458448
401,2458596
501,2459928
602,2440816
702,2461104
802,2462592
903,2463184
1003,2464304
1103,2473808
1204,2476352
1306,2480220
1407,2481812
1507,2487836
1607,2494240
1708,2494280
1808,2490904
1908,2491028
2009,2492048
2109,2492548
2210,2492980
2311,2492980
2411,2491652
2512,2488208
2611,2479844
2712,2480256
2813,2480504
2913,2480864
3014,2480864
3113,2482600
3214,2484476
3315,2488944
3414,2497216
3515,2493464
3615,2490052
3716,2503120
3816,2501644
3916,2501532
4017,2490160
4117,2511316
4217,2516908
