Time  [ms],Memory Usage [KB]
0,2488712
100,2485360
201,2485156
301,2486944
402,2487296
502,2488152
603,2489620
703,2507360
803,2508868
904,2511736
1004,2510260
1104,2518260
1205,2521116
1305,2525740
1407,2526928
1506,2528060
1606,2538180
1707,2540484
1807,2539456
1908,2538200
2008,2539092
2108,2542884
2209,2566812
2310,2569956
2410,2591512
2510,2593096
2610,2601772
2710,2604720
2811,2608156
2911,2605516
3012,2603504
3112,2604648
3212,2611000
3313,2612036
3413,2616116
3514,2616380
