Time  [ms],Memory Usage [KB]
0,2458416
100,2453536
203,2456512
304,2455508
406,2456540
505,2456352
605,2474552
705,2476832
806,2480060
906,2482020
1007,2482288
1106,2492156
1207,2494700
1308,2500168
1407,2502304
1509,2505244
1609,2515728
1709,2515372
1809,2502336
1909,2503036
2010,2506192
2111,2506924
2211,2511960
2312,2513680
2412,2517340
2512,2536828
2612,2546384
2713,2547012
2813,2548304
2913,2561396
3017,2567152
3115,2568624
3216,2568780
3316,2570592
3416,2566476
3516,2579312
3617,2580444
3717,2581812
